pigment,rent_time,peaks
19-But-Fuco,20.43,2
19-Hex-Fuco,23.05,2
Alloxanthin,26.35,2
Antheraxanthin,25.117,1
Aphanizophyll,22.29,6
Astaxanthin,23.41,6
Canthaxanthin,29.49,2
Carotene,39.49,2
chla,36.03,2
chlb,33.57,2
Chlorophyll_C3,5.112,2
Chlorophyll_C2,8.55,4
Diadinoxanthin,24.54,2
Diatoxanthin,27.14,4
DV-Chlorohypll-a,35.83,6
Echinenone,35.38,2
Fucoxanthin,20.8,4
Lutein,28.14,4
Lycopene,38.4,2
Neoxanthin,21.95,2
Peridinin,15.73,2
Peridinin isomer,16.178,1
Pheophytin-a,36.6,6
Prasinoxanthin,22.41,2
Pyropheophytin_a,37.44,2
Scytonemin,5.55,4
Scytonemin_reduced,7.89,2
Violaxanthin,22.73,6
Zeaxanthin,27.8,2
